v_sJFgo9H6zNo,0,Fun sliding down
v_u2uoYvo8J5s,2,Swinging at the playground
v_0Gr4aKQzGYk,3,Getting a piercing
v_--0edUL8zmA,4,Dodgeball
v_c_NlYvL96y0,5,Ballet
v_hHiPEAiYKv0,6,Shoveling snow
v_GCtrfXIBbwA,7,Playing harmonica
v_rs7er4e67ec,8,Hurling
v_6ZabZdqdLyA,2,Swinging at the playground
v_yUSo_xjyGhM,13,Washing dishes
v_Ou24uqaFRPg,14,Polishing forniture
v_sjyZWmvTGA4,15,Blowing leaves
v_BxzOUJbq28s,17,Playing congas
v_Z8yNbpjUSLc,18,Making a lemonade
v_6uhLrPgbpUA,20,BMX
v_jIQFVSymHQs,21,Playing kickball
v_2U0vMYnC49c,22,Removing ice from car
v_t2wawfMaTzM,23,Playing racquetball
v_gKkk82LG8H0,17,Playing congas
v_UvuXGKesWS0,24,Swimming
v_8pR6NBu7Ay0,25,Paintball
v_-YjGbsbDoxs,27,Painting
v_p800u2wCKbE,18,Making a lemonade
v_BfnM0eyjB5Q,28,Assembling bicycle
v_-Xl95IW5H_s,30,Starting a campfire
v_maXU1lGguxs,31,Playing violin
v_R4ES1QLRvtg,6,Shoveling snow
v_jafEh82XETQ,33,Making a sandwich
v_0YQPGAsZPgY,17,Playing congas
v_5Bo0gFXxDQk,34,Welding
v_hmT9H0IjiGs,18,Making a lemonade
v_97McCuWAynA,32,Surfing
v_WEohpavjsIY,35,Cumbia
v_IGcsVPa34Hc,38,Baking cookies
v_qogdv5DWzkQ,39,Braiding hair
v_gSeE_Ms-2TI,40,Roof shingle removal
v_1PTNnaEu8xo,41,Capoeira
v_rhOtqArO-3Y,42,Slacklining
v_xr64cSwpNOM,45,Chopping wood
v_xi4puZ1ulP4,46,Removing curlers
v_x99PS_O6JW8,48,Smoking hookah
v_D_XMD02v690,49,Doing a powerbomb
v_lVMMPkvnid8,50,Playing ten pins
v_qJYp25ni6tg,52,Preparing salad
v_mQHY2uMOMP4,54,Getting a haircut
